Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Temp_SD,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbent,Sorbent_val,Sorbent_SD,Sorbent_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units
azbn98,azbn98_f2c,3,quartz,SiO2,Merck,NA,NA,Na(+1),0.09678274256391169,0.005,mol/L,Cl(+7),0.0945529416008399,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.788671377033179,0.1,U(+6),9.951214744223808e-07,5e-08,mol/L,9.825613378854901e-07,5e-08,mol/L,1.46e-08,5e-08,mol/L,NA,NA,NA,9.601548494430627,1.25,g/L,0.09827678044158718,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,4,quartz,SiO2,Merck,NA,NA,Na(+1),0.11679667276254382,0.005,mol/L,Cl(+7),0.0927152182362651,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.175452675042845,0.1,U(+6),1.0308249311803226e-06,5e-08,mol/L,8.609151150319551e-07,5e-08,mol/L,1.29e-07,5e-08,mol/L,NA,NA,NA,10.403149867453552,1.25,g/L,0.10527232351564066,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,5,quartz,SiO2,Merck,NA,NA,Na(+1),0.1056952485360093,0.005,mol/L,Cl(+7),0.09575312735815103,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48392127913844,0.1,U(+6),1.0649023457807354e-06,5e-08,mol/L,9.060343632586954e-07,5e-08,mol/L,1.59e-07,5e-08,mol/L,NA,NA,NA,10.78879529271644,1.25,g/L,0.11299124844957689,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,6,quartz,SiO2,Merck,NA,NA,Na(+1),0.09850454783165637,0.005,mol/L,Cl(+7),0.09456558482225916,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.009711223710342,0.1,U(+6),9.960258312245055e-07,5e-08,mol/L,6.157955114210016e-07,5e-08,mol/L,4.24e-07,5e-08,mol/L,NA,NA,NA,12.566034261282566,1.25,g/L,0.08666489411323858,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,7,quartz,SiO2,Merck,NA,NA,Na(+1),0.10009472694719126,0.005,mol/L,Cl(+7),0.09543108594664476,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.519287618866584,0.1,U(+6),1.0151390809006551e-06,5e-08,mol/L,5.230494256682333e-07,5e-08,mol/L,4.99e-07,5e-08,mol/L,NA,NA,NA,12.5897282847551,1.25,g/L,0.09969057532594384,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,8,quartz,SiO2,Merck,NA,NA,Na(+1),0.10113338065976626,0.005,mol/L,Cl(+7),0.09799670240534301,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.750202021559794,0.1,U(+6),9.815470865932235e-07,5e-08,mol/L,5.86101250019966e-07,5e-08,mol/L,4.67e-07,5e-08,mol/L,NA,NA,NA,13.319037927113179,1.25,g/L,0.0854115176200034,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,9,quartz,SiO2,Merck,NA,NA,Na(+1),0.10523446420317192,0.005,mol/L,Cl(+7),0.09859011069523287,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.230913846374762,0.1,U(+6),1.0126235196489561e-06,5e-08,mol/L,6.784067092201094e-07,5e-08,mol/L,3.93e-07,5e-08,mol/L,NA,NA,NA,12.43651706918852,1.25,g/L,0.10468177959388243,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,10,quartz,SiO2,Merck,NA,NA,Na(+1),0.10595923285987562,0.005,mol/L,Cl(+7),0.10648581430440449,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.603956841934138,0.1,U(+6),1.0089378919153867e-06,5e-08,mol/L,8.024778025606128e-07,5e-08,mol/L,1.91e-07,5e-08,mol/L,NA,NA,NA,12.776840449803377,1.25,g/L,0.10967931959560032,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,11,quartz,SiO2,Merck,NA,NA,Na(+1),0.10309536437221575,0.005,mol/L,Cl(+7),0.10693298439805407,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.162203760235133,0.1,U(+6),9.777390222929523e-07,5e-08,mol/L,1.043009070366348e-06,5e-08,mol/L,1.74e-09,5e-08,mol/L,NA,NA,NA,13.589553028686352,1.25,g/L,0.10941909746575687,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,12,quartz,SiO2,Merck,NA,NA,Na(+1),0.10269185523954177,0.005,mol/L,Cl(+7),0.09451436680500025,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.976495412676133,0.1,U(+6),9.44913993056473e-07,5e-08,mol/L,1.069361125273225e-06,5e-08,mol/L,-6.78e-08,5e-08,mol/L,NA,NA,NA,12.369180231179303,1.25,g/L,0.10913890205891182,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
