         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	    la_UO2+2	   la_UO2CO3	
          54	      i_soln	          52	         -99	         -99	         -99	       9.048	           4	    0.010497	 -1.3343e+01	 -1.0000e+03	
          54	       react	          52	         -99	           0	           1	       9.048	      9.7273	   0.0169622	 -1.3598e+01	 -1.0086e+01	
          55	      i_soln	          53	         -99	         -99	         -99	       3.319	           4	  0.00275544	 -6.1499e+00	 -1.0000e+03	
          55	       react	          53	         -99	           0	           1	       3.319	     16.6045	  0.00920042	 -6.2225e+00	 -1.1706e+01	
          56	      i_soln	          54	         -99	         -99	         -99	       3.419	           4	  0.00270351	 -6.1045e+00	 -1.0000e+03	
          56	       react	          54	         -99	           0	           1	       3.419	     16.4846	  0.00915022	 -6.1774e+00	 -1.1461e+01	
          57	      i_soln	          55	         -99	         -99	         -99	       3.947	           4	  0.00256206	 -6.1203e+00	 -1.0000e+03	
          57	       react	          55	         -99	           0	           1	       3.947	     15.8511	   0.0090141	 -6.1929e+00	 -1.0422e+01	
          58	      i_soln	          56	         -99	         -99	         -99	       4.041	           4	  0.00255062	 -6.0911e+00	 -1.0000e+03	
          58	       react	          56	         -99	           0	           1	       4.041	     15.7383	  0.00900318	 -6.1633e+00	 -1.0204e+01	
          59	      i_soln	          57	         -99	         -99	         -99	       4.425	           4	  0.00252213	 -6.1847e+00	 -1.0000e+03	
          59	       react	          57	         -99	           0	           1	       4.425	     15.2775	  0.00897613	 -6.2535e+00	 -9.5280e+00	
          60	      i_soln	          58	         -99	         -99	         -99	        4.62	           4	  0.00251493	 -6.2057e+00	 -1.0000e+03	
          60	       react	          58	         -99	           0	           1	        4.62	     15.0435	  0.00896939	 -6.2715e+00	 -9.1577e+00	
          61	      i_soln	          59	         -99	         -99	         -99	       4.885	           4	  0.00250915	 -6.2397e+00	 -1.0000e+03	
          61	       react	          59	         -99	           0	           1	       4.885	     14.7255	  0.00896409	 -6.2999e+00	 -8.6632e+00	
          62	      i_soln	          60	         -99	         -99	         -99	       4.786	           4	  0.00251084	 -6.2379e+00	 -1.0000e+03	
          62	       react	          60	         -99	           0	           1	       4.786	     14.8443	  0.00896562	 -6.3004e+00	 -8.8567e+00	
          63	      i_soln	          61	         -99	         -99	         -99	       5.107	           4	   0.0025061	 -6.3485e+00	 -1.0000e+03	
          63	       react	          61	         -99	           0	           1	       5.107	     14.4591	  0.00896143	 -6.4030e+00	 -8.3246e+00	
          64	      i_soln	          62	         -99	         -99	         -99	       5.513	           4	  0.00250323	 -6.5977e+00	 -1.0000e+03	
          64	       react	          62	         -99	           0	           1	       5.513	     13.9719	  0.00895941	 -6.6434e+00	 -7.7740e+00	
          65	      i_soln	          63	         -99	         -99	         -99	       5.858	           4	  0.00250205	 -6.9334e+00	 -1.0000e+03	
          65	       react	          63	         -99	           0	           1	       5.858	     13.5579	  0.00895949	 -6.9875e+00	 -7.4679e+00	
          66	      i_soln	          64	         -99	         -99	         -99	        6.44	           4	  0.00250117	 -7.7850e+00	 -1.0000e+03	
          66	       react	          64	         -99	           0	           1	        6.44	     12.8595	  0.00896258	 -7.9631e+00	 -7.4427e+00	
          67	      i_soln	          65	         -99	         -99	         -99	       3.166	           4	  0.00537093	 -6.0926e+00	 -1.0000e+03	
          67	       react	          65	         -99	           0	           1	       3.166	     16.7871	   0.0118115	 -6.1495e+00	 -1.1956e+01	
          68	      i_soln	          66	         -99	         -99	         -99	       3.427	           4	  0.00570614	 -6.1529e+00	 -1.0000e+03	
          68	       react	          66	         -99	           0	           1	       3.427	     16.4738	   0.0121523	 -6.2082e+00	 -1.1492e+01	
          69	      i_soln	          67	         -99	         -99	         -99	       3.568	           4	  0.00514938	 -6.1716e+00	 -1.0000e+03	
          69	       react	          67	         -99	           0	           1	       3.568	     16.3049	   0.0115976	 -6.2291e+00	 -1.1231e+01	
          70	      i_soln	          68	         -99	         -99	         -99	       4.125	           4	  0.00504482	 -6.1378e+00	 -1.0000e+03	
          70	       react	          68	         -99	           0	           1	       4.125	     15.6366	   0.0114975	 -6.1940e+00	 -1.0083e+01	
