Experiment,Mineral_source,Mineral,UO2CO3,mu,Uranyl_Complex,uranium_total,Site_Density
141,1,0,-9.2083,0.0572238,-8.8131,-6.0,-2.3382775889721437
142,1,0,-9.2796,0.0572236,-8.8119,-6.0,-2.3382775889721437
143,1,0,-8.9104,0.0572247,-8.8204,-6.0,-2.3382775889721437
144,1,0,-11.446,0.0116431,-6.1962,-6.0,-2.3382775889721437
145,1,0,-10.849,0.0115503,-6.2009,-6.0,-2.3382775889721437
146,1,0,-10.136,0.011498,-6.2143,-6.0,-2.3382775889721437
147,1,0,-10.332,0.0115084,-6.2094,-6.0,-2.3382775889721437
148,1,0,-9.9691,0.0114909,-6.2195,-6.0,-2.3382775889721437
149,1,0,-9.6854,0.0114815,-6.2312,-6.0,-2.3382775889721437
150,1,0,-9.5132,0.0114772,-6.2404,-6.0,-2.3382775889721437
151,1,0,-8.9026,0.0114672,-6.2945,-6.0,-2.3382775889721437
152,1,0,-8.8692,0.0114668,-6.2988,-6.0,-2.3382775889721437
153,1,0,-8.488,0.0114635,-6.3631,-6.0,-2.3382775889721437
154,1,0,-8.0935,0.0114614,-6.4757,-6.0,-2.3382775889721437
155,1,0,-7.7402,0.0114604,-6.6688,-6.0,-2.3382775889721437
156,1,0,-7.6684,0.0114603,-6.7345,-6.0,-2.3382775889721437
157,1,0,-7.5984,0.0114603,-6.8178,-6.0,-2.3382775889721437
158,1,0,-7.447,0.0114608,-7.1773,-6.0,-2.3382775889721437
159,1,0,-7.4416,0.011463,-7.8433,-6.0,-2.3382775889721437
160,1,0,-10.754,0.0119542,-8.8642,-6.0,-2.3382775889721437
161,1,0,-10.364,0.0119549,-8.8678,-6.0,-2.3382775889721437
162,1,0,-9.6171,0.0119564,-8.8734,-6.0,-2.3382775889721437
163,1,0,-9.4669,0.0119567,-8.8748,-6.0,-2.3382775889721437
164,1,0,-9.3006,0.0119572,-8.8768,-6.0,-2.3382775889721437
165,1,0,-8.6153,0.0119598,-8.8963,-6.0,-2.3382775889721437
166,1,0,-8.1966,0.0119624,-8.9476,-6.0,-2.3382775889721437
167,1,0,-11.609,0.00918637,-6.1769,-6.0,-2.3382775889721437
168,1,0,-10.337,0.00900899,-6.1902,-6.0,-2.3382775889721437
169,1,0,-10.049,0.00899405,-6.1977,-6.0,-2.3382775889721437
170,1,0,-9.4966,0.00897625,-6.222,-6.0,-2.3382775889721437
171,1,0,-9.1738,0.00897006,-6.2458,-6.0,-2.3382775889721437
172,1,0,-8.8234,0.00896552,-6.2849,-6.0,-2.3382775889721437
173,1,0,-8.5379,0.00896298,-6.3322,-6.0,-2.3382775889721437
174,1,0,-8.3011,0.00896145,-6.3874,-6.0,-2.3382775889721437
175,1,0,-7.8427,0.00895964,-6.5714,-6.0,-2.3382775889721437
176,1,0,-7.5109,0.00895937,-6.9252,-6.0,-2.3382775889721437
177,1,0,-7.411,0.00896147,-7.6889,-6.0,-2.3382775889721437
178,1,0,-11.955,0.0077001,-6.465,-6.301029995663981,-2.3382775889721437
179,1,0,-10.906,0.00752748,-6.4732,-6.301029995663981,-2.3382775889721437
180,1,0,-10.432,0.00749683,-6.4832,-6.301029995663981,-2.3382775889721437
181,1,0,-9.8639,0.00747666,-6.5057,-6.301029995663981,-2.3382775889721437
182,1,0,-9.3041,0.0074664,-6.5491,-6.301029995663981,-2.3382775889721437
183,1,0,-8.861,0.00746196,-6.6119,-6.301029995663981,-2.3382775889721437
184,1,0,-8.4054,0.00745943,-6.7254,-6.301029995663981,-2.3382775889721437
185,1,0,-7.6186,0.00745915,-7.3972,-6.301029995663981,-2.3382775889721437
186,1,0,-12.358,0.011508,-8.2087,-8.0,-3.3382775889721437
187,1,0,-11.944,0.0114881,-8.2201,-8.0,-3.3382775889721437
188,1,0,-11.322,0.0114715,-8.252,-8.0,-3.3382775889721437
189,1,0,-10.531,0.0114624,-8.3469,-8.0,-3.3382775889721437
190,1,0,-9.3478,0.0114598,-8.8636,-8.0,-3.3382775889721437
191,1,0,-9.2145,0.0114604,-9.0036,-8.0,-3.3382775889721437
192,1,0,-9.0073,0.0114624,-9.3691,-8.0,-3.3382775889721437
193,1,0,-11.401,0.0115109,-7.2078,-7.0,-3.3382775889721437
194,1,0,-11.04,0.0114921,-7.2169,-7.0,-3.3382775889721437
195,1,0,-10.556,0.0114765,-7.2373,-7.0,-3.3382775889721437
196,1,0,-9.5566,0.0114627,-7.3428,-7.0,-3.3382775889721437
197,1,0,-8.4911,0.0114596,-7.7569,-7.0,-3.3382775889721437
198,1,0,-8.1831,0.0114608,-8.1215,-7.0,-3.3382775889721437
199,1,0,-8.1333,0.0114614,-8.256,-7.0,-3.3382775889721437
200,1,0,-9.8325,0.011486,-6.2247,-6.0,-3.3382775889721437
201,1,0,-9.0884,0.0114695,-6.2736,-6.0,-3.3382775889721437
202,1,0,-8.2309,0.011462,-6.429,-6.0,-3.3382775889721437
203,1,0,-7.4723,0.0114606,-7.0776,-6.0,-3.3382775889721437
204,1,0,-7.4222,0.0114613,-7.3532,-6.0,-3.3382775889721437
205,1,0,-7.5865,0.0114763,-5.4194,-5.0,-3.3382775889721437
206,1,0,-7.0036,0.0114636,-6.4155,-5.0,-3.3382775889721437
207,1,0,-6.9762,0.0114639,-6.8501,-5.0,-3.3382775889721437
208,1,0,-13.315,0.0116149,-8.1969,-8.0,-2.3382775889721437
209,1,0,-12.638,0.0115282,-8.2037,-8.0,-2.3382775889721437
210,1,0,-12.002,0.0114903,-8.2181,-8.0,-2.3382775889721437
211,1,0,-11.865,0.0114852,-8.223,-8.0,-2.3382775889721437
212,1,0,-11.685,0.0114797,-8.2306,-8.0,-2.3382775889721437
213,1,0,-11.482,0.0114747,-8.2414,-8.0,-2.3382775889721437
214,1,0,-11.246,0.0114702,-8.2578,-8.0,-2.3382775889721437
